name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
tampa bay,2022-07-11,88.5,80.4,84.7,98.8,85.6,93,75,72.9,0.668,100,20.83,rain,0,0,42.5,13,220.2,1013.5,57.9,9.7,135.8,11.4,6,75,2022-07-11T06:41:28,2022-07-11T20:29:11,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-12,92.4,81.9,86.6,105,87.8,95.9,75.2,69.5,0,0,0,rain,0,0,18.3,14.6,209.8,1015.3,40.5,9.9,241.8,20.7,10,100,2022-07-12T06:41:57,2022-07-12T20:28:56,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-13,92.8,82.3,86.4,105.1,86.6,94.2,73.8,67.1,0.002,100,8.33,rain,0,0,14.5,13.9,245.1,1018,49.4,9.8,250.7,21.2,10,100,2022-07-13T06:42:26,2022-07-13T20:28:41,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-14,91.5,73.7,83,101.4,73.7,87.9,72.2,70.8,1.818,100,20.83,rain,0,0,42.5,13.8,351.2,1019.2,69.9,9.5,175,14.8,8,100,2022-07-14T06:42:56,2022-07-14T20:28:24,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"74788012810,0371W,KMCF,D8345,KTPA,72211012842"
tampa bay,2022-07-15,91.7,73.5,82.5,101.2,73.5,85.9,70.2,68,0.064,100,8.33,rain,0,0,24.2,9.9,128.6,1019,71.5,9.9,211.8,17.9,9,100,2022-07-15T06:43:26,2022-07-15T20:28:06,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-16,91.7,75.7,82,99.4,75.7,84.5,71.9,72.8,2.332,100,25,rain,0,0,23,11.7,91.8,1017,64.2,9,203.5,17.1,9,100,2022-07-16T06:43:57,2022-07-16T20:27:46,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"74788012810,KMCF,0371W,D8345,72211012842,KTPA"
tampa bay,2022-07-17,89.5,76.4,82,100.8,76.4,86.6,73.8,76.7,0.801,100,12.5,rain,0,0,43.6,12.3,141.8,1016.2,54.6,9.9,156.7,13.1,8,100,2022-07-17T06:44:27,2022-07-17T20:27:25,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-18,92,80.5,85.6,104,85.8,94.5,75.6,72.8,0,0,0,rain,0,0,21.9,14.6,193,1018.1,46.6,9.9,241,20.4,10,100,2022-07-18T06:44:58,2022-07-18T20:27:03,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-19,91.9,83.5,86.7,107.7,92.4,98,76.8,72.8,0.016,100,4.17,rain,0,0,26.4,13.9,197.8,1018.8,65.6,9.8,197.3,16.5,8,100,2022-07-19T06:45:30,2022-07-19T20:26:39,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-20,92.8,82.6,86.7,103.1,90.8,96.1,75.3,69.7,0,0,0,rain,0,0,21.9,11.4,245.3,1017.6,53,9.9,232.5,19.5,10,100,2022-07-20T06:46:01,2022-07-20T20:26:14,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-21,92.5,80.4,85.9,101.6,84.4,93.1,73.1,66.1,0,0,0,,0,0,11.2,12.4,251,1016.9,51.5,9.9,245.6,20.8,10,100,2022-07-21T06:46:33,2022-07-21T20:25:48,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,0371W,KMCF,D8345,KTPA,72211012842"
tampa bay,2022-07-22,93.6,77.9,85.6,106.2,77.9,93,74.3,70,1.415,100,12.5,rain,0,0,38,15.8,165.7,1018,43.5,9.4,263.6,22.4,10,100,2022-07-22T06:47:05,2022-07-22T20:25:20,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-23,91.9,77.5,82.6,102.9,77.5,86.1,73.9,76.1,1.281,100,20.83,rain,0,0,46.7,13.1,141.3,1019.7,38.8,9.6,214.7,18.1,10,100,2022-07-23T06:47:37,2022-07-23T20:24:51,0.83,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
tampa bay,2022-07-24,92.8,78.6,84.9,100.6,78.6,90.2,73.3,69.6,0,0,0,rain,0,0,14.3,8.7,95.4,1019.3,53.8,9.9,192.9,16.2,8,100,2022-07-24T06:48:09,2022-07-24T20:24:21,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"74788012810,KMCF,0371W,D8345,KTPA,72211012842"
