,play_sequence_num,game_id,home_team,away_team,yardline_100,game_date,game_seconds_remaining,down,ydstogo,play_type,no_huddle,shotgun,pass_length,pass_location,run_location,posteam_timeouts_remaining,defteam_timeouts_remaining,score_differential,roof,surface,offense_formation,offense_personnel,defenders_in_box,defense_personnel,weather
98779,30,2018_01_SF_MIN,MIN,SF,75.0,2018-09-09,1796.0,2.0,10.0,run,0.0,0.0,,,middle,3.0,3.0,-7.0,dome,sportturf,I_FORM,"2 RB, 1 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98780,31,2018_01_SF_MIN,MIN,SF,74.0,2018-09-09,1767.0,3.0,9.0,pass,0.0,1.0,short,middle,,3.0,3.0,-7.0,dome,sportturf,EMPTY,"1 RB, 1 TE, 3 WR",6.0,"3 DL, 3 LB, 5 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98789,32,2018_01_SF_MIN,MIN,SF,82.0,2018-09-09,1576.0,1.0,10.0,run,0.0,0.0,,,left,3.0,3.0,-7.0,dome,sportturf,I_FORM,"2 RB, 1 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98790,33,2018_01_SF_MIN,MIN,SF,80.0,2018-09-09,1554.0,2.0,8.0,pass,0.0,0.0,deep,left,,3.0,3.0,-7.0,dome,sportturf,I_FORM,"2 RB, 1 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98791,34,2018_01_SF_MIN,MIN,SF,80.0,2018-09-09,1548.0,3.0,8.0,pass,0.0,1.0,short,right,,3.0,3.0,-7.0,dome,sportturf,SHOTGUN,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98794,35,2018_01_SF_MIN,MIN,SF,75.0,2018-09-09,1541.0,1.0,10.0,pass,0.0,1.0,deep,right,,3.0,3.0,-14.0,dome,sportturf,SHOTGUN,"2 RB, 1 TE, 2 WR",6.0,"4 DL, 3 LB, 4 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98795,36,2018_01_SF_MIN,MIN,SF,19.0,2018-09-09,1499.0,1.0,10.0,run,0.0,0.0,,,right,3.0,3.0,-14.0,dome,sportturf,SINGLEBACK,"2 RB, 2 TE, 1 WR",8.0,"4 DL, 3 LB, 4 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98796,37,2018_01_SF_MIN,MIN,SF,15.0,2018-09-09,1467.0,2.0,6.0,pass,0.0,0.0,short,left,,3.0,3.0,-14.0,dome,sportturf,SINGLEBACK,"2 RB, 2 TE, 1 WR",8.0,"4 DL, 3 LB, 4 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98798,38,2018_01_SF_MIN,MIN,SF,15.0,2018-09-09,1464.0,3.0,6.0,pass,0.0,1.0,short,left,,2.0,3.0,-14.0,dome,sportturf,EMPTY,"1 RB, 1 TE, 3 WR",7.0,"4 DL, 2 LB, 5 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98813,39,2018_01_SF_MIN,MIN,SF,75.0,2018-09-09,1162.0,1.0,10.0,run,0.0,0.0,,,left,2.0,3.0,-18.0,dome,sportturf,SINGLEBACK,"1 RB, 2 TE, 2 WR",7.0,"4 DL, 3 LB, 4 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98814,40,2018_01_SF_MIN,MIN,SF,64.0,2018-09-09,1134.0,1.0,10.0,pass,1.0,0.0,short,left,,2.0,3.0,-18.0,dome,sportturf,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,"4 DL, 3 LB, 4 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98815,41,2018_01_SF_MIN,MIN,SF,28.0,2018-09-09,1112.0,1.0,10.0,run,0.0,0.0,,,right,2.0,3.0,-18.0,dome,sportturf,SINGLEBACK,"1 RB, 2 TE, 2 WR",8.0,"4 DL, 3 LB, 4 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98816,42,2018_01_SF_MIN,MIN,SF,25.0,2018-09-09,1072.0,2.0,7.0,run,0.0,1.0,,,left,2.0,3.0,-18.0,dome,sportturf,SHOTGUN,"2 RB, 1 TE, 2 WR",8.0,"4 DL, 3 LB, 4 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98817,43,2018_01_SF_MIN,MIN,SF,19.0,2018-09-09,1029.0,3.0,1.0,run,0.0,0.0,,,left,2.0,3.0,-18.0,dome,sportturf,I_FORM,"2 RB, 2 TE, 1 WR",8.0,"4 DL, 3 LB, 4 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98818,44,2018_01_SF_MIN,MIN,SF,17.0,2018-09-09,984.0,1.0,10.0,pass,0.0,1.0,,,,2.0,3.0,-18.0,dome,sportturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98819,45,2018_01_SF_MIN,MIN,SF,22.0,2018-09-09,940.0,2.0,15.0,pass,0.0,1.0,deep,left,,2.0,3.0,-18.0,dome,sportturf,EMPTY,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
98827,46,2018_01_SF_MIN,MIN,SF,69.0,2018-09-09,883.0,1.0,10.0,pass,0.0,1.0,short,left,,2.0,3.0,-11.0,dome,sportturf,SHOTGUN,"1 RB, 1 TE, 3 WR",6.0,"4 DL, 2 LB, 5 DB","N/A (Indoors) Temp: ° F, Wind:   mph"
